Datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque
01/10/2012 13:00,284.63,282.08,289.48,281.8,291.87,291.53,293.41,296.6,285.12
01/10/2012 14:00,284.6290413,282.083252,289.4749928,281.7972166,291.8681855,291.533501,293.4031413,296.6085085,285.1545582
01/10/2012 15:00,284.6269979,282.0918665,289.4606181,281.7898326,291.8628445,291.5433551,293.3921771,296.6314874,285.2339516
01/10/2012 16:00,284.6249545,282.100481,289.4462434,281.7824486,291.8575034,291.5532092,293.3812128,296.6544662,285.313345
01/10/2012 17:00,284.6229111,282.1090955,289.4318687,281.7750646,291.8521623,291.5630633,293.3702486,296.677445,285.3927384
01/10/2012 18:00,284.6208678,282.11771,289.417494,281.7676805,291.8468213,291.5729175,293.3592844,296.7004238,285.4721318
01/10/2012 19:00,284.6188244,282.1263245,289.4031193,281.7602965,291.8414802,291.5827716,293.3483202,296.7234026,285.5515252
01/10/2012 20:00,284.616781,282.134939,289.3887446,281.7529125,291.8361391,291.5926257,293.337356,296.7463814,285.6309186
01/10/2012 21:00,284.6147376,282.1435535,289.3743699,281.7455284,291.8307981,291.6024798,293.3263917,296.7693602,285.710312
01/10/2012 22:00,284.6126942,282.152168,289.3599952,281.7381444,291.825457,291.612334,293.3154275,296.792339,285.7897055
01/10/2012 23:00,284.6106508,282.1607825,289.3456205,281.7307604,291.820116,291.6221881,293.3044633,296.8153178,285.8690989
02/10/2012 00:00,284.6086074,282.169397,289.3312458,281.7233764,291.8147749,291.6320422,293.2934991,296.8382967,285.9484923
02/10/2012 01:00,284.606564,282.1780115,289.3168711,281.7159923,291.8094338,291.6418963,293.2825349,296.8612755,286.0278857
02/10/2012 02:00,284.6045207,282.186626,289.3024964,281.7086083,291.8040928,291.6517505,293.2715706,296.8842543,286.1072791
02/10/2012 03:00,284.6024773,282.1952405,289.2881217,281.7012243,291.7987517,291.6616046,293.2606064,296.9072331,286.1866725
02/10/2012 04:00,284.6004339,282.203855,289.273747,281.6938403,291.7934106,291.6714587,293.2496422,296.9302119,286.2660659
02/10/2012 05:00,284.5983905,282.2124695,289.2593723,281.6864562,291.7880696,291.6813129,293.238678,296.9531907,286.3454593
02/10/2012 06:00,284.5963471,282.221084,289.2449976,281.6790722,291.7827285,291.691167,293.2277138,296.9761695,286.4248527
02/10/2012 07:00,284.5943037,282.2296985,289.2306229,281.6716882,291.7773874,291.7010211,293.2167495,296.9991483,286.5042461
